0,Sentiment,neg,neu,pos,compound
loaded  here at mid range 🎯,Neutro,0.0,1.0,0.0,0.0
update  > [](> my ideal scenario waiting 0.5 zone 1940 area,Positivo,0.0,0.726,0.274,0.5267
:  is going to print me a few  this week.,Neutro,0.0,1.0,0.0,0.0
dips is gift,Positivo,0.0,0.408,0.592,0.4404
#bitcoin not the worst looking chart.bulls need to hold the range low and this would look just fine.,Positivo,0.095,0.676,0.23,0.4577
"if #bitcoin can hold these prices -- we are  looking at an aggressive sell-off that failed to break any key levels.sell pressure gets absorbed, strong bull market sign if we go up from here.",Negativo,0.176,0.743,0.082,-0.4215
"pretty sure this is going to break into new aths before christmas.man,  looks good.",Positivo,0.0,0.567,0.433,0.8126
"when the bull market gets underway, demand for lending will skyrocket.chart looks poised for upside too;  should be a comfy hold from here.",Positivo,0.064,0.851,0.085,0.128
"#bitcoin is still following the rough expectations i set out 3 months ago.expecting a slower grind up from here, slowly making our way toward ,000.altcoins should continue to do well in the meantime.",Positivo,0.0,0.932,0.068,0.2732
"it  still early, but as it stands it looks like #bitcoin is flipping yet another weekly level into support.",Positivo,0.0,0.714,0.286,0.7783
"my expectation has been that /btc will retrace the entire spot etf filing move.it  nice in the long run but with a #bitcoin spot etf looming i think that will drive eth/btc back down before bouncing.for eth/btc to go down, it would likely be paired with upside on btc and…",Positivo,0.035,0.926,0.038,0.0387
": #bridging 👇to bridge  from arbitrum, follow these steps:▫️ go to ▫️ connect your wallet…",Neutro,0.0,1.0,0.0,0.0
leverage trading with funds from your web3 wallet?now that stip funds have been claimed gmx trading incentives are live. receive 75% of the open fees airdropped back in arb. meaning there is a trading fee of 0.0175%.,Positivo,0.0,0.938,0.062,0.3182
"2x hit  ...but i think more in next weeks> [](> add  on my spot bag ,nice deviation after close above daily",Positivo,0.0,0.872,0.128,0.4215
"best trade of the day, how much you made? #grok ?> [](> i think meme community will take over this coin   > > buy tip if you can handle rip",Positivo,0.0,0.851,0.149,0.6767
: if #bitcoin can hold this area and close the day above it - i would  be fairly confident the bottom is in.great structural…,Positivo,0.0,0.862,0.138,0.4939
": dips are an inevitable part of #bitcoin bull markets. they pull back just deep enough to get you to panic sell, and th…",Negativo,0.13,0.87,0.0,-0.5106
":  is breaking out 👀 📈t1 - .38t2 - .50t3 - .58_trade with me here ➡️ 🔥 up to 30,…",Neutro,0.0,1.0,0.0,0.0
what a perfection 4% up,Positivo,0.0,0.448,0.552,0.5719
"of course, the biggest rippers are the ones that i’m trading 😀they were lining up…",Neutro,0.0,1.0,0.0,0.0
booooooooooooom,Neutro,0.0,1.0,0.0,0.0
nailed the local bottom on this one,Neutro,0.0,1.0,0.0,0.0
macro chart#maverickprotocol is one of the new #altcoins i’m pretty bullish on.📍 long-term buy zone: .195-0.130        aggressive buy: 0.130-0.084🔨 major resistance: .59-0.75🎯 target 1 - .70🎯 target 2 - .00,Positivo,0.056,0.833,0.111,0.3818
"just riding the line, if you had the  software, you would’ve known where to buy that dip 😀",Neutro,0.0,1.0,0.0,0.0
"lmao, already made back all the funds i send to cold storage, trading account back to athsmarket is very easy atm, but at some point that will stop. keep taking profit.> [](> been a good week.> > cashed out the trading profits, converting it to #bitcoin and sending it into cold storage.> > long term is the name of the game.",Positivo,0.042,0.776,0.183,0.8572
"#1000bonk  on mexc and bybit expected double top with educational illustration sl is too high, hence noanfam indicator used",Positivo,0.0,0.909,0.091,0.2023
: postponed due to some issues,Negativo,0.31,0.69,0.0,-0.2023
expecting more upside as long as this breakout holds,Neutro,0.0,1.0,0.0,0.0
"#lina  is wild, highly volatilelong only on confirmationnever trade without an sl and do not  hold forever without taking profit partially",Negativo,0.107,0.893,0.0,-0.3412
,Neutro,0.0,0.0,0.0,0.0
more new highs. 🔥🔥,Neutro,0.0,1.0,0.0,0.0
"now do not  get too excited here fellas, at least, not until this level is reclaimed.not saying we go to zero but for now, this is looking like a bear retest.closed the leveraged altcoin positions as shared just now, waiting for this to play out. #bitcoin",Positivo,0.029,0.789,0.182,0.8373
careful with fomo here on the bounce as now  retesting resistance that was our support reclaim —> can look to play the continuation rejection —> likely get a chance at sweeping wick lowpersonally i’ve taken profits across the board on the bounce,Positivo,0.07,0.699,0.232,0.7269
. lba day 2:-  tvl-   suppliedincredible.up only. > [](> day 2 of vertex  lba 📈 > > ➡️,Neutro,0.0,1.0,0.0,0.0
#avax  i caught this when the market dropped yesterdayi'm closing this n opening waiting for short positionit is at the resistance,Neutro,0.0,1.0,0.0,0.0
"let me start by saying that this is a consolidation within the context of a healthy uptrendtherefore, the way you frame your trade setups should be via looking for continuation longshaving said that, i think it  likely this consolidation continues on a bit longer as…",Positivo,0.0,0.937,0.063,0.4019
:  private sale is officially live! 🚀join now: 👉hard cap: 60 ethsale method: fcfsend date:…,Neutro,0.0,1.0,0.0,0.0
"betting contesttelegram bot, sign up here, no kyc: if you are  up since our entry -> test the product.good luck! :)> [](> it  time for a  betting contest with over 7 eth (+) in prizes> > 📅 dates: 11/14 - 11/28> > 🏆 how to win: have the highest bet volume + the most  profit from leverage betting> > 💵 everyone in the top 10 wins> > sign up here to join the contest👇>",Positivo,0.03,0.776,0.194,0.9019
- into support and then send hard 🎯,Positivo,0.173,0.494,0.333,0.3182
still strong... green dot,Neutro,0.0,1.0,0.0,0.0
#bitcoin  is in my eyes the main pivot which determines whether we are  going for new yearly highs in the short term or not.a lot of volume traded around that region and it  also this week  open.get to that region and a lot of short covering will likely take place.,Neutro,0.0,1.0,0.0,0.0
"burned off the rsi, riding the line, green dots...",Neutro,0.0,1.0,0.0,0.0
"i'm long and strong (and a bit levered)trade it with me here, use leverage and perps (with care) even in the us right now:",Positivo,0.0,0.87,0.13,0.5106
"continues to look strong, resistance clearly been holding us back at",Positivo,0.0,0.6,0.4,0.7184
"- so early, it  still under private sale price🎯",Neutro,0.0,1.0,0.0,0.0
closed my leverage longs for now that i bought on yesterdays dip  retesting resistance level here if we flip here i’ll look for new longs if not think we get some juicy entries on a retest keeping it simple —-> securing gains & compounding onto the next trade,Positivo,0.0,0.901,0.099,0.5719
fresh fresh coins going higher something something,Positivo,0.0,0.521,0.479,0.5574
🚀,Neutro,0.0,0.0,0.0,0.0
nice s/r test,Positivo,0.0,0.417,0.583,0.4215
exploded!,Neutro,0.0,1.0,0.0,0.0
"do not  even have to trade them imo, just buy and hold",Neutro,0.0,1.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
: we are unsure people understand the power of what  is building. the  launchpad is set to be a revolution. our…,Negativo,0.1,0.9,0.0,-0.25
s/r test,Neutro,0.0,1.0,0.0,0.0
"they do not  know yet, but they will really soon.> [](>  one of the biggest plays in  will be  /  > > backed by  and allows access to their liquidity, api just released, staking later this month and around 1-2m mc",Positivo,0.0,0.908,0.092,0.3919
"had one of the worst choppy grinds up out of all the coins. clear volume increase, dips being bought up and a lot of new coins have been rallying..62-0.63 is the key level to break. up on doing so i think .78 and .89 are not out of the question.",Positivo,0.076,0.833,0.091,-0.0516
chart is going to ath,Neutro,0.0,1.0,0.0,0.0
i use to trade this all the time.weekly cloud break happening. grabbing a big spot bag to see if this runs to -.,Neutro,0.0,1.0,0.0,0.0
no trigger yet but watching for the 1w cloud play. its nearing! ill be ready for a huge pump on this.,Positivo,0.177,0.502,0.321,0.6476
- h1 reclaim. send it to range highs 🙏#sui,Neutro,0.0,1.0,0.0,0.0
#bitcoin still up in november but it has been a wild ride so far.how do you think we will  end the month?,Neutro,0.0,1.0,0.0,0.0
lfg!!!!!!,Neutro,0.0,1.0,0.0,0.0
: my expectation has been that /btc will retrace the entire spot etf filing move.it  nice in the long run but with a #…,Positivo,0.0,0.917,0.083,0.2263
dip has been completely eatenbears were celebrating yday lmfao,Positivo,0.0,0.484,0.516,0.8158
"that’s why you buy fear> [](> #bitcoin / > > still think we could see a bit lower down toward , but i’m starting to see a lot of fear on the timeline. “is it over???”> > buy fear, sell greed.",Negativo,0.323,0.677,0.0,-0.9359
oh yeah!!!!,Neutro,0.0,1.0,0.0,0.0
was  when  was much lowertake me to the promise land mikey...,Positivo,0.0,0.813,0.187,0.3182
: think it is time to send it straight to 40k+ this week.#bitcoin,Positivo,0.0,0.853,0.147,0.2263
: all of you focus too much on bitcoin right now.,Neutro,0.0,1.0,0.0,0.0
"on cme ready for ,500",Positivo,0.0,0.615,0.385,0.3612
looks like it  gearing up for higher prices once this consolidation has concludedsend it my friends,Positivo,0.0,0.714,0.286,0.6808
looks like no  etf approval january> [](> update: there  the delay order for    application to convert  from a #bitcoin futures etf to an etf that hold both futures and spot.> > h/t,Positivo,0.125,0.72,0.155,0.2732
relative strength today as price approaches htf range peaks,Positivo,0.0,0.714,0.286,0.4939
bitcoin does not  seem to give a fuck about the disappointing etf news.that tells you that there  a very eager bid lurking.dips will most likely be shallow.,Negativo,0.213,0.699,0.089,-0.6003
#bitcoin / price discovery is a magnet.the chart below details price action similarities from the 2020 covid capitulation wick recovery that led to the 2021 bull market to the current price action and how the market has trended since the ftx capitulation event.in this…,Neutro,0.0,1.0,0.0,0.0
let the ponzi kektinue> [](>,Neutro,0.0,1.0,0.0,0.0
"vol is still technically really low, your not too late anon. you can still look into dated expos, learn options asap.here:",Negativo,0.107,0.893,0.0,-0.3384
some of these alts on binance are being accumulated so heavily they are all gonna run as  x10+,Neutro,0.0,1.0,0.0,0.0
up close,Neutro,0.0,1.0,0.0,0.0
let  go to,Neutro,0.0,1.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
"shorted #btc 1hr/4hr trade, watching pa closely. will still swing short daily close below .5k (separate account).for now, playing this range.",Positivo,0.0,0.917,0.083,0.2023
ohh that  why #bitcoin bounced from there.,Neutro,0.0,1.0,0.0,0.0
fresh local highspushing through those high wave candles,Positivo,0.0,0.753,0.247,0.3182
flip 0.25 and full send 0.10,Neutro,0.0,1.0,0.0,0.0
"👌> [](> crypto twitter, > yesterday, we were 12k  > today, 68k > > if you followed capo and are still doing dca for short    , you lose your funds + opportunities in the market.> > change your mind, and find better traders now. i give you the best two  …",Positivo,0.054,0.754,0.192,0.7906
"- hard working 5 plus member doxxed team with a working product that people use, revenue share, reduced fees for holders, etc.  - anonymous dev making a meme that does nothing. investing versus gambling.",Positivo,0.046,0.882,0.072,0.2023
gib and run my stop in the same candle?,Negativo,0.216,0.784,0.0,-0.296
"i'm not going to tell you my target, as i do not want to jinx it.all i can say is that  is only just getting started.there will be pullbacks, but i'm going to comfortably hold this beyond that previous all-time high.",Positivo,0.027,0.885,0.088,0.5557
"speaking of all-time highs, feels like its about time for  to push beyond that  mark.fresh aths before christmas.",Positivo,0.0,0.872,0.128,0.3612
accumulating down at these levels after this downtrend breakout.looks good for upside potential to at least one red zone; if not both.,Positivo,0.0,0.879,0.121,0.4404
"shallow pullback, new highs.rinse and repeat.#bitcoin",Neutro,0.0,1.0,0.0,0.0
close this too ...soon go to sleep,Neutro,0.0,1.0,0.0,0.0
- let  see how many people will get upset at what a hedge short is. when you do not  want to give up your entry but want to take profits you short at resistances (obv in this case). if wrong you make money from holding spot. if correct you make money on the short then close.,Negativo,0.137,0.8,0.063,-0.3703
do not  fade the lion. i will share more #gamblefi projects that are primed for a run. activate notifications. entry was perfectly timed. intraday 70% 🔥,Positivo,0.0,0.766,0.234,0.7506
short,Neutro,0.0,1.0,0.0,0.0
yesterday... they said it was overtoday... #bitcoin closed its highest daily candle in 560 daysthe honey badger does not  give af,Neutro,0.0,1.0,0.0,0.0
tik tok,Neutro,0.0,1.0,0.0,0.0
"awesome 👍> [](> that was fast 🤯>  >  private sale hard cap has been reached in less than 30 minutes!  > > we’re speechless, and we would like to thank our community for the amazing support! 🛡️> >  public sale will begin soon, are you ready? 👀",Positivo,0.025,0.613,0.362,0.9564
"guess what  coin that  breaking out. > [](> top gainers in the  ecosytem are up 100% - 300%.> > majority of others are up over %50.> > find the gems that are not  that up yet and are legit companies. > > also if something has popped into new aths , then look for 35% retraces to add.",Positivo,0.0,0.965,0.035,0.2023
"would you believe me if i told you that the next target is  for one ? > [](> lol hit 19.60> > crypto trading has been stupid ez lately, 0 reason for leverage or liquidations. > > .",Positivo,0.095,0.756,0.148,0.2263
😎,Neutro,0.0,0.0,0.0,0.0
i think we can easily clear to  and then try for 1.65.,Positivo,0.0,0.643,0.357,0.6124
🔺🔺🔺,Neutro,0.0,1.0,0.0,0.0
": 40+ new holders today, now above 500 and growing. will be the one you look back at and go ""damn""",Positivo,0.0,0.918,0.082,0.1779
: rotated some of today  alt profits into . it  not very volatile yet because the  platform has not  laun…,Positivo,0.0,0.854,0.146,0.4404
,Neutro,0.0,0.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
: #tradewithnoan   like this? confirms 200ema support in the daily.,Positivo,0.0,0.574,0.426,0.6369
bottom is in. the snake of ba sing se has capitulated his holdings.time to bet more.,Neutro,0.0,1.0,0.0,0.0
"1,500% in a monthit  called bonk. 😂😂 smh",Negativo,0.277,0.723,0.0,-0.3182
,Neutro,0.0,0.0,0.0,0.0
#tomo  🩸 > [](> #tomo  crash on delisting,Negativo,0.351,0.649,0.0,-0.4019
"#bitcoin retested the 25-day ema, and then engulfed 4 days worth of red candles.this market wants higher.",Positivo,0.0,0.888,0.112,0.2263
took two minutes lol> [](> do not  sleep on,Neutro,0.0,1.0,0.0,0.0
: #learnwithnoan 💡▫️what is #brc-20?✍️ brc-20 tokens are experimental fungible tokens created using ordinals & inscri…,Positivo,0.0,0.867,0.133,0.25
"i have accumulated 6 figs of .i'm so ready.btw i will  drop some // alpha.buy sub 500 count pls, scoop up all the 100 or less count card backs.  thank me later. > [](>   in price discovery",Positivo,0.064,0.76,0.176,0.2732
beautiful 5 wave rise from the lows on .if we get into range box overnight im bidding.,Positivo,0.091,0.711,0.198,0.4767
"#bitcoin shrugged off the etf delay news like it was nothing.flipping the previous highs into support -- send it higher.,000 probably soon.",Positivo,0.087,0.717,0.196,0.4404
#bitcoin is still following the november 2020 fractal!up only from here if we keep following it. what do you think?,Neutro,0.0,1.0,0.0,0.0
not many people are ready for what happens once  breaks out of this massive ascending triangle 👀,Positivo,0.0,0.857,0.143,0.3612
do you like ?  > [](>  is under res here...to jump into other leveraged positions i will wait...overnight i will never risk...simply a smart strategy,Positivo,0.099,0.791,0.11,0.0624
beast does it again lol  first n now conviction is one hell of a play.> [](> after a whole year of people telling me that nobody uses avalanche and the future is on solana and layer 2 .,Negativo,0.12,0.807,0.073,-0.4215
"history does not repeat, but it often rhymes.#bitcoin",Neutro,0.0,1.0,0.0,0.0
"halving catalyst in just over 5 months, while spot etfs are probably getting approved by then too.i know a raging bull market getting started when i see one.we are  in for one hell of a ride.#bitcoin",Negativo,0.201,0.729,0.07,-0.7351
big congrats to my partners at  on successfully bringing indices to arbitrum!you can now trade (or use it as a hedging tool!) a dollar-index on-chain.check it out: #sponsored> [](> 📢 listing announcement! 🚀 > >  is proud to bring you the first ever onchain customized index market (cim) on > > /usd is now live 🟢 on > > trade now 📊:,Positivo,0.0,0.819,0.181,0.8904
waiting for a  dip like,Positivo,0.0,0.545,0.455,0.3612
"kong knows ,already up another 100k in mc which is not  bad since it  eventually gonna go more imo.v1 holders getting out was the biggest w.  i yet again have multiple casino bags in crypto and am here to feel something.  .> [](>  -  > > solid recovery after v1 holders from base exited.> curacao license is almost done.> legit team working hard on delivering instead of just talking.> > at 200k mc a no-brainer imo.",Positivo,0.019,0.92,0.061,0.4678
#0x0 consolidation ending soon .30+ by end of year big convinction play for me,Positivo,0.0,0.844,0.156,0.34
🫡everything pushing 50%+ recovery since october,Neutro,0.0,1.0,0.0,0.0
: cake 1d chart#tradewithnoan #learnwithnoan #cake,Neutro,0.0,1.0,0.0,0.0
only chart today> [](>  soon imo,Neutro,0.0,1.0,0.0,0.0
: ftm 1d chart#tradewithnoan #learnwithnoan #ftm,Neutro,0.0,1.0,0.0,0.0
: snx 1d chart#tradewithnoan #learnwithnoan #snx,Neutro,0.0,1.0,0.0,0.0
it  programmed. so many blessings #timing > [](> a lagging big cap can be a blessing. rotating profits into the  dip since yesterday.,Positivo,0.075,0.572,0.353,0.8307
"literally going to the moon> [](> 🚀dogecoin on the moon update🌕> > exciting news for the dogecoin community!🌑> > astrobotic plans to send a physical dogecoin to the moon in the dhl moonbox via ula  vulcan centaur rocket on 12/23/2023. funded by our community in 2015, this mission embodies collective effort!",Positivo,0.0,0.925,0.075,0.5837
printing the kind of consolidation that suddenly starts ripping higher again,Neutro,0.0,1.0,0.0,0.0
you know it  defiszn when this shitcoins turns on the engines.,Neutro,0.0,1.0,0.0,0.0
"this is how long ive been euphoric. for people learning ichimoku do not double your crypto settings. if others do it fine but there is no need and thats not what i do anymore.double your ichimoku settings, they dont show this, you will get delayed signals imo.> [](> in 18 hours we are going to have our first weekly ichimoku candle close inside the clouds since may 2019.  > > 1/4",Negativo,0.07,0.875,0.055,-0.2846
#bitcoin spot premium has been mostly stable even after yesterday  big move up.shows a good amount of spot bid and not a lot of long chasing into these yearly highs.,Positivo,0.0,0.836,0.164,0.6249
the coin is cursed but there might be a chance.,Positivo,0.0,0.762,0.238,0.3612
"im gonna be buying so much ethereum classic , its not even funny. if  breaks to 2500+ then this is going to  imo.",Negativo,0.103,0.897,0.0,-0.3412
#woo 3d charti like this higher low structure. looks pretty bullish in the medium term.key resistance .327🎯 breakout targets: .46 & .65,Positivo,0.081,0.698,0.221,0.5574
"this bullish megaphone has a target of ,000!up about 45% since we first started talking about it, can it make its way to the target before 2024 starts?#bitcoin",Neutro,0.0,1.0,0.0,0.0
why not my triggers for scalp,Neutro,0.0,1.0,0.0,0.0
market is on a minor correctionhope this not become reversal#zrx i'm targeting at least 50% of  1d daily green candle on retracement,Neutro,0.0,1.0,0.0,0.0
#dydx,Neutro,0.0,1.0,0.0,0.0
"my partners at  continue to make moves into all kinds of sports leagues 👀this partnership with 2 cricket teams should put the little doggo in front of >700m viewers.big moves again, lfg.#sponsored> [](> floki and tokenfi partner with 2x legends league cricket teams to target over 700 million people> > #floki and its sister token, , have formed a strategic marketing partnership with india  leading cricket teams: the manipal tigers and the bhilwara kings.> > this partnership…",Neutro,0.0,1.0,0.0,0.0
"/  is changing into  soon!i have  recently got myself some  so i'm excited for this massive upgrade.as a gaming fan i'm mostly curious to see what more they can bring to the web3 gaming industry.> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",Positivo,0.0,0.842,0.158,0.8645
i will leave limit orders open in the boxes,Negativo,0.146,0.854,0.0,-0.0516
nice retest on  here now let’s send it to + into the weekend,Positivo,0.0,0.797,0.203,0.4215
"overheated with just a single retracement/correction after the break outif i see another retracement followed by a consolidation and break out, i will get in. good to hold on spot with a clear exit plan***50000% up from the atl*** > [](> binance futures will launch the usdⓢ-m kas perpetual contract at 2023-11-17 02:00 (utc)> >  check this out, any thoughts of this  getting more explosure and a good hold for possible uptrend ?",Positivo,0.0,0.879,0.121,0.8126
added > [](> nice retest on  here > > now let’s send it to + into the weekend,Positivo,0.0,0.823,0.177,0.4215
today i'm not very convinced of this move... but at the moment the pa tells me this,Negativo,0.098,0.902,0.0,-0.187
must hold area in order to take the yearly highs,Neutro,0.0,1.0,0.0,0.0
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,Positivo,0.0,0.898,0.102,0.5106
the yearly highs for  are looming.,Negativo,0.231,0.769,0.0,-0.128
the  lba continues to gain momentumafter just 3 days: - .5m tvl- .23m  phenomenal scenes.full fkin send. > [](> day 3 of vertex  lba 📈 > > ➡️ > > contributions end in 2 days...,Positivo,0.0,0.876,0.124,0.5267
"to .66+ this cycle or the market is simply wrong> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",Positivo,0.0,0.923,0.077,0.4753
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,Positivo,0.0,0.898,0.102,0.5106
the yearly highs for  are looming.,Negativo,0.231,0.769,0.0,-0.128
the  lba continues to gain momentumafter just 3 days: - .5m tvl- .23m  phenomenal scenes.full fkin send. > [](> day 3 of vertex  lba 📈 > > ➡️ > > contributions end in 2 days...,Positivo,0.0,0.876,0.124,0.5267
"to .66+ this cycle or the market is simply wrong> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",Positivo,0.0,0.923,0.077,0.4753
,Neutro,0.0,0.0,0.0,0.0
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,Positivo,0.0,0.898,0.102,0.5106
the yearly highs for  are looming.,Negativo,0.231,0.769,0.0,-0.128
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,Positivo,0.0,0.898,0.102,0.5106
the yearly highs for  are looming.,Negativo,0.231,0.769,0.0,-0.128
the  lba continues to gain momentumafter just 3 days: - .5m tvl- .23m  phenomenal scenes.full fkin send. > [](> day 3 of vertex  lba 📈 > > ➡️ > > contributions end in 2 days...,Positivo,0.0,0.876,0.124,0.5267
"to .66+ this cycle or the market is simply wrong> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",Positivo,0.0,0.923,0.077,0.4753
,Neutro,0.0,0.0,0.0,0.0
- longed the dip. h1 consolidation before the most recent move up #sol,Neutro,0.0,1.0,0.0,0.0
all 3 coins in the 2024 millionaire starter pack making new ath’s and cooking 2024 gonna be a good year 🤝> [](>  millionaire starter pack > >   #0x0,Positivo,0.0,0.888,0.112,0.4404
relative strength,Positivo,0.0,0.238,0.762,0.4939
working on reclaiming a key level,Neutro,0.0,1.0,0.0,0.0
"great step forward. already listed on most of the major exchanges who are supporting the swap aswell.eyes on them. previous  >> > [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",Positivo,0.0,0.82,0.18,0.8777
i started a position in  /  recentlyas i think metaverse & gaming will bring trillions of dollars into the crypto markets i think  can be a leader in the race to the top 25 🤝,Positivo,0.0,0.935,0.065,0.2023
"well said   chart is a beauty price discovery soon full send it > [](> teleport time for , + in bull> > - private sale out> - no token releases for 3 months> - amino shop live. > - revenues will be used for buy back> -  partnership and uptake of amino to huge fan base > -huge partnerships pending> > same conviction i had as paal at  mcap",Positivo,0.035,0.762,0.203,0.8625
"the  discount has continued to decline throughout the year. now down to a mere 11%.investors in  have done incredibly well in 2023, being up 258% ytd vs #bitcoin  +125%",Positivo,0.0,0.919,0.081,0.3384
"coin announcing that they are sending it to the literal moon and you didn’t think the market was going to pull back here> [](> 🚀dogecoin on the moon update🌕> > exciting news for the dogecoin community!🌑> > astrobotic plans to send a physical dogecoin to the moon in the dhl moonbox via ula  vulcan centaur rocket on 12/23/2023. funded by our community in 2015, this mission embodies collective effort!",Positivo,0.0,0.945,0.055,0.5837
i’ve claimed 9  so far in #0x0 rewards from simply just holdingas protocol goes live over the next few months i expect this number of eth rewards to multiply by 10x rewards weekly100% of revenue generated go to holders —> future unicorn in the making high convinction,Positivo,0.0,0.793,0.207,0.8649
"sorry, busy irl day..",Negativo,0.302,0.698,0.0,-0.0772
key liquidity swept now retesting ltf support hold here and possibly bounce towards  or looking at a move into mid ’s added more here easy invalidation if wrong,Positivo,0.094,0.728,0.178,0.4173
"looks primed for higher- old dino coins such as  pumped over +150% since the lows- ftx the biggest holder, farmer and dumper of this shitcoin is dead- accumulate under , sell higher",Negativo,0.229,0.771,0.0,-0.8074
"insane obv push throughout the life of this chart.might not mean anything but if you are  looking for a lottery bag to buy and forget about that could either go -50% or +2,000% then this could one of those potential big winners this cycle.",Negativo,0.087,0.827,0.086,0.2382
attempting to move out of the base. has to hold ~...,Neutro,0.0,1.0,0.0,0.0
at an important level relative to .i'm not sure if this holds but i guess these high timeframe support levels never look great when you are  there.i do think eth is pretty cheap relative to many other  and we will  likely see some flows from those back into eth soon.,Positivo,0.1,0.744,0.156,0.5152
might just range here for a whilechop everyone up before the next leg higher,Neutro,0.0,1.0,0.0,0.0
