0,polarity,subjectivity,Sentiment
. lba day 2:-  tvl-   suppliedincredible.up only. > [](> day 2 of vertex  lba 📈 > > ➡️,0.0,1.0,Neutro
#avax  i caught this when the market dropped yesterdayi'm closing this n opening waiting for short positionit is at the resistance,0.0,0.3,Neutro
"let me start by saying that this is a consolidation within the context of a healthy uptrendtherefore, the way you frame your trade setups should be via looking for continuation longshaving said that, i think it  likely this consolidation continues on a bit longer as…",0.25,0.75,Positivo
:  private sale is officially live! 🚀join now: 👉hard cap: 60 ethsale method: fcfsend date:…,0.08522727272727272,0.4375,Positivo
"betting contesttelegram bot, sign up here, no kyc: if you are  up since our entry -> test the product.good luck! :)> [](> it  time for a  betting contest with over 7 eth (+) in prizes> > 📅 dates: 11/14 - 11/28> > 🏆 how to win: have the highest bet volume + the most  profit from leverage betting> > 💵 everyone in the top 10 wins> > sign up here to join the contest👇>",0.575,0.6,Positivo
- into support and then send hard 🎯,-0.2916666666666667,0.5416666666666666,Negativo
still strong... green dot,0.11666666666666664,0.5166666666666666,Positivo
#bitcoin  is in my eyes the main pivot which determines whether we are  going for new yearly highs in the short term or not.a lot of volume traded around that region and it  also this week  open.get to that region and a lot of short covering will likely take place.,0.060606060606060594,0.47757575757575754,Positivo
"burned off the rsi, riding the line, green dots...",-0.2,0.3,Negativo
"i'm long and strong (and a bit levered)trade it with me here, use leverage and perps (with care) even in the us right now:",0.223015873015873,0.5563492063492063,Positivo
"continues to look strong, resistance clearly been holding us back at",0.17777777777777778,0.37222222222222223,Positivo
"- so early, it  still under private sale price🎯",0.05,0.3375,Positivo
closed my leverage longs for now that i bought on yesterdays dip  retesting resistance level here if we flip here i’ll look for new longs if not think we get some juicy entries on a retest keeping it simple —-> securing gains & compounding onto the next trade,0.009090909090909087,0.22792207792207791,Positivo
fresh fresh coins going higher something something,0.2833333333333333,0.5,Positivo
🚀,0.0,0.0,Neutro
nice s/r test,0.6,1.0,Positivo
exploded!,0.0,0.0,Neutro
"do not  even have to trade them imo, just buy and hold",0.0,0.0,Neutro
,0.0,0.0,Neutro
,0.0,0.0,Neutro
: we are unsure people understand the power of what  is building. the  launchpad is set to be a revolution. our…,0.0,0.0,Neutro
s/r test,0.0,0.0,Neutro
"they do not  know yet, but they will really soon.> [](>  one of the biggest plays in  will be  /  > > backed by  and allows access to their liquidity, api just released, staking later this month and around 1-2m mc",0.1,0.1,Positivo
"had one of the worst choppy grinds up out of all the coins. clear volume increase, dips being bought up and a lot of new coins have been rallying..62-0.63 is the key level to break. up on doing so i think .78 and .89 are not out of the question.",-0.1927272727272727,0.6075757575757575,Negativo
chart is going to ath,0.0,0.0,Neutro
i use to trade this all the time.weekly cloud break happening. grabbing a big spot bag to see if this runs to -.,0.0,0.1,Neutro
no trigger yet but watching for the 1w cloud play. its nearing! ill be ready for a huge pump on this.,0.03333333333333336,0.7999999999999999,Positivo
- h1 reclaim. send it to range highs 🙏#sui,0.0,0.0,Neutro
#bitcoin still up in november but it has been a wild ride so far.how do you think we will  end the month?,0.1,0.4,Positivo
lfg!!!!!!,0.0,0.0,Neutro
: my expectation has been that /btc will retrace the entire spot etf filing move.it  nice in the long run but with a #…,0.18333333333333332,0.6749999999999999,Positivo
dip has been completely eatenbears were celebrating yday lmfao,0.1,0.4,Positivo
"that’s why you buy fear> [](> #bitcoin / > > still think we could see a bit lower down toward , but i’m starting to see a lot of fear on the timeline. “is it over???”> > buy fear, sell greed.",-0.07777777777777779,0.19444444444444448,Negativo
oh yeah!!!!,0.0,0.0,Neutro
was  when  was much lowertake me to the promise land mikey...,0.2,0.2,Positivo
: think it is time to send it straight to 40k+ this week.#bitcoin,0.2,0.4,Positivo
: all of you focus too much on bitcoin right now.,0.24285714285714285,0.3678571428571429,Positivo
"on cme ready for ,500",0.2,0.5,Positivo
looks like it  gearing up for higher prices once this consolidation has concludedsend it my friends,0.25,0.5,Positivo
looks like no  etf approval january> [](> update: there  the delay order for    application to convert  from a #bitcoin futures etf to an etf that hold both futures and spot.> > h/t,0.0,0.0,Neutro
relative strength today as price approaches htf range peaks,0.0,0.0,Neutro
bitcoin does not  seem to give a fuck about the disappointing etf news.that tells you that there  a very eager bid lurking.dips will most likely be shallow.,-0.10555555555555556,0.6,Negativo
#bitcoin / price discovery is a magnet.the chart below details price action similarities from the 2020 covid capitulation wick recovery that led to the 2021 bull market to the current price action and how the market has trended since the ftx capitulation event.in this…,0.06666666666666667,0.19999999999999998,Positivo
let the ponzi kektinue> [](>,0.0,0.0,Neutro
"vol is still technically really low, your not too late anon. you can still look into dated expos, learn options asap.here:",-0.15,0.44999999999999996,Negativo
some of these alts on binance are being accumulated so heavily they are all gonna run as  x10+,-0.2,0.5,Negativo
up close,0.0,0.0,Neutro
let  go to,0.0,0.0,Neutro
,0.0,0.0,Neutro
"shorted #btc 1hr/4hr trade, watching pa closely. will still swing short daily close below .5k (separate account).for now, playing this range.",0.0,0.15,Neutro
ohh that  why #bitcoin bounced from there.,0.0,0.0,Neutro
fresh local highspushing through those high wave candles,0.15333333333333332,0.3466666666666667,Positivo
flip 0.25 and full send 0.10,0.35,0.55,Positivo
"👌> [](> crypto twitter, > yesterday, we were 12k  > today, 68k > > if you followed capo and are still doing dca for short    , you lose your funds + opportunities in the market.> > change your mind, and find better traders now. i give you the best two  …",0.5,0.3666666666666667,Positivo
"- hard working 5 plus member doxxed team with a working product that people use, revenue share, reduced fees for holders, etc.  - anonymous dev making a meme that does nothing. investing versus gambling.",-0.2916666666666667,0.5416666666666666,Negativo
gib and run my stop in the same candle?,0.0,0.125,Neutro
"i'm not going to tell you my target, as i do not want to jinx it.all i can say is that  is only just getting started.there will be pullbacks, but i'm going to comfortably hold this beyond that previous all-time high.",0.09833333333333334,0.6266666666666667,Positivo
"speaking of all-time highs, feels like its about time for  to push beyond that  mark.fresh aths before christmas.",0.0,0.0,Neutro
accumulating down at these levels after this downtrend breakout.looks good for upside potential to at least one red zone; if not both.,0.048888888888888885,0.45777777777777784,Positivo
"shallow pullback, new highs.rinse and repeat.#bitcoin",-0.09848484848484848,0.4772727272727273,Negativo
close this too ...soon go to sleep,0.0,0.0,Neutro
- let  see how many people will get upset at what a hedge short is. when you do not  want to give up your entry but want to take profits you short at resistances (obv in this case). if wrong you make money from holding spot. if correct you make money on the short then close.,0.0,0.45999999999999996,Neutro
do not  fade the lion. i will share more #gamblefi projects that are primed for a run. activate notifications. entry was perfectly timed. intraday 70% 🔥,0.75,0.75,Positivo
short,0.0,0.3,Neutro
yesterday... they said it was overtoday... #bitcoin closed its highest daily candle in 560 daysthe honey badger does not  give af,-0.05,0.05,Negativo
tik tok,0.0,0.0,Neutro
"awesome 👍> [](> that was fast 🤯>  >  private sale hard cap has been reached in less than 30 minutes!  > > we’re speechless, and we would like to thank our community for the amazing support! 🛡️> >  public sale will begin soon, are you ready? 👀",0.20625000000000002,0.5062500000000001,Positivo
"guess what  coin that  breaking out. > [](> top gainers in the  ecosytem are up 100% - 300%.> > majority of others are up over %50.> > find the gems that are not  that up yet and are legit companies. > > also if something has popped into new aths , then look for 35% retraces to add.",0.3181818181818182,0.4772727272727273,Positivo
"would you believe me if i told you that the next target is  for one ? > [](> lol hit 19.60> > crypto trading has been stupid ez lately, 0 reason for leverage or liquidations. > > .",-0.07499999999999997,0.575,Negativo
😎,0.0,0.0,Neutro
i think we can easily clear to  and then try for 1.65.,0.10000000000000002,0.3833333333333333,Positivo
🔺🔺🔺,0.0,0.0,Neutro
": 40+ new holders today, now above 500 and growing. will be the one you look back at and go ""damn""",0.04545454545454545,0.18484848484848485,Positivo
: rotated some of today  alt profits into . it  not very volatile yet because the  platform has not  laun…,-0.1,0.3,Negativo
,0.0,0.0,Neutro
,0.0,0.0,Neutro
: #tradewithnoan   like this? confirms 200ema support in the daily.,0.0,0.0,Neutro
bottom is in. the snake of ba sing se has capitulated his holdings.time to bet more.,0.5,0.5,Positivo
"1,500% in a monthit  called bonk. 😂😂 smh",0.0,0.0,Neutro
,0.0,0.0,Neutro
#tomo  🩸 > [](> #tomo  crash on delisting,0.0,0.0,Neutro
"#bitcoin retested the 25-day ema, and then engulfed 4 days worth of red candles.this market wants higher.",0.1875,0.175,Positivo
took two minutes lol> [](> do not  sleep on,0.0,0.0,Neutro
: #learnwithnoan 💡▫️what is #brc-20?✍️ brc-20 tokens are experimental fungible tokens created using ordinals & inscri…,0.1,0.4,Positivo
"i have accumulated 6 figs of .i'm so ready.btw i will  drop some // alpha.buy sub 500 count pls, scoop up all the 100 or less count card backs.  thank me later. > [](>   in price discovery",-0.08333333333333333,0.03333333333333333,Negativo
beautiful 5 wave rise from the lows on .if we get into range box overnight im bidding.,0.85,1.0,Positivo
"#bitcoin shrugged off the etf delay news like it was nothing.flipping the previous highs into support -- send it higher.,000 probably soon.",-0.16666666666666666,0.16666666666666666,Negativo
#bitcoin is still following the november 2020 fractal!up only from here if we keep following it. what do you think?,0.0,0.4000000000000001,Neutro
not many people are ready for what happens once  breaks out of this massive ascending triangle 👀,-0.016666666666666663,0.6666666666666666,Negativo
do you like ?  > [](>  is under res here...to jump into other leveraged positions i will wait...overnight i will never risk...simply a smart strategy,0.04464285714285714,0.5089285714285714,Positivo
beast does it again lol  first n now conviction is one hell of a play.> [](> after a whole year of people telling me that nobody uses avalanche and the future is on solana and layer 2 .,0.3125,0.3895833333333333,Positivo
"history does not repeat, but it often rhymes.#bitcoin",0.0,0.0,Neutro
"halving catalyst in just over 5 months, while spot etfs are probably getting approved by then too.i know a raging bull market getting started when i see one.we are  in for one hell of a ride.#bitcoin",0.0,0.0,Neutro
big congrats to my partners at  on successfully bringing indices to arbitrum!you can now trade (or use it as a hedging tool!) a dollar-index on-chain.check it out: #sponsored> [](> 📢 listing announcement! 🚀 > >  is proud to bring you the first ever onchain customized index market (cim) on > > /usd is now live 🟢 on > > trade now 📊:,0.4372727272727272,0.5766666666666667,Positivo
waiting for a  dip like,0.0,0.0,Neutro
"kong knows ,already up another 100k in mc which is not  bad since it  eventually gonna go more imo.v1 holders getting out was the biggest w.  i yet again have multiple casino bags in crypto and am here to feel something.  .> [](>  -  > > solid recovery after v1 holders from base exited.> curacao license is almost done.> legit team working hard on delivering instead of just talking.> > at 200k mc a no-brainer imo.",-0.04027777777777781,0.4680555555555555,Negativo
#0x0 consolidation ending soon .30+ by end of year big convinction play for me,0.0,0.1,Neutro
🫡everything pushing 50%+ recovery since october,0.0,0.0,Neutro
: cake 1d chart#tradewithnoan #learnwithnoan #cake,0.0,0.0,Neutro
only chart today> [](>  soon imo,0.0,1.0,Neutro
: ftm 1d chart#tradewithnoan #learnwithnoan #ftm,0.0,0.0,Neutro
: snx 1d chart#tradewithnoan #learnwithnoan #snx,0.0,0.0,Neutro
it  programmed. so many blessings #timing > [](> a lagging big cap can be a blessing. rotating profits into the  dip since yesterday.,0.25,0.3,Positivo
"literally going to the moon> [](> 🚀dogecoin on the moon update🌕> > exciting news for the dogecoin community!🌑> > astrobotic plans to send a physical dogecoin to the moon in the dhl moonbox via ula  vulcan centaur rocket on 12/23/2023. funded by our community in 2015, this mission embodies collective effort!",0.15,0.4714285714285714,Positivo
printing the kind of consolidation that suddenly starts ripping higher again,0.2833333333333333,0.6333333333333333,Positivo
you know it  defiszn when this shitcoins turns on the engines.,0.0,0.0,Neutro
"this is how long ive been euphoric. for people learning ichimoku do not double your crypto settings. if others do it fine but there is no need and thats not what i do anymore.double your ichimoku settings, they dont show this, you will get delayed signals imo.> [](> in 18 hours we are going to have our first weekly ichimoku candle close inside the clouds since may 2019.  > > 1/4",0.15416666666666667,0.30833333333333335,Positivo
#bitcoin spot premium has been mostly stable even after yesterday  big move up.shows a good amount of spot bid and not a lot of long chasing into these yearly highs.,0.2875,0.4,Positivo
the coin is cursed but there might be a chance.,0.0,0.0,Neutro
"im gonna be buying so much ethereum classic , its not even funny. if  breaks to 2500+ then this is going to  imo.",0.20555555555555557,0.45555555555555555,Positivo
#woo 3d charti like this higher low structure. looks pretty bullish in the medium term.key resistance .327🎯 breakout targets: .46 & .65,0.16666666666666666,0.6,Positivo
"this bullish megaphone has a target of ,000!up about 45% since we first started talking about it, can it make its way to the target before 2024 starts?#bitcoin",0.25,0.3333333333333333,Positivo
why not my triggers for scalp,0.0,0.0,Neutro
market is on a minor correctionhope this not become reversal#zrx i'm targeting at least 50% of  1d daily green candle on retracement,-0.1375,0.22500000000000003,Negativo
#dydx,0.0,0.0,Neutro
"my partners at  continue to make moves into all kinds of sports leagues 👀this partnership with 2 cricket teams should put the little doggo in front of >700m viewers.big moves again, lfg.#sponsored> [](> floki and tokenfi partner with 2x legends league cricket teams to target over 700 million people> > #floki and its sister token, , have formed a strategic marketing partnership with india  leading cricket teams: the manipal tigers and the bhilwara kings.> > this partnership…",-0.1875,0.5,Negativo
"/  is changing into  soon!i have  recently got myself some  so i'm excited for this massive upgrade.as a gaming fan i'm mostly curious to see what more they can bring to the web3 gaming industry.> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",0.1933035714285714,0.7142857142857143,Positivo
i will leave limit orders open in the boxes,0.0,0.5,Neutro
nice retest on  here now let’s send it to + into the weekend,0.6,1.0,Positivo
"overheated with just a single retracement/correction after the break outif i see another retracement followed by a consolidation and break out, i will get in. good to hold on spot with a clear exit plan***50000% up from the atl*** > [](> binance futures will launch the usdⓢ-m kas perpetual contract at 2023-11-17 02:00 (utc)> >  check this out, any thoughts of this  getting more explosure and a good hold for possible uptrend ?",0.32142857142857145,0.5496031746031746,Positivo
added > [](> nice retest on  here > > now let’s send it to + into the weekend,0.6,1.0,Positivo
today i'm not very convinced of this move... but at the moment the pa tells me this,-0.1,0.3,Negativo
must hold area in order to take the yearly highs,0.0,0.0,Neutro
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,0.05833333333333332,0.30833333333333335,Positivo
the yearly highs for  are looming.,0.0,0.0,Neutro
the  lba continues to gain momentumafter just 3 days: - .5m tvl- .23m  phenomenal scenes.full fkin send. > [](> day 3 of vertex  lba 📈 > > ➡️ > > contributions end in 2 days...,0.5,0.5,Positivo
"to .66+ this cycle or the market is simply wrong> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",0.19270833333333334,0.6190476190476191,Positivo
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,0.05833333333333332,0.30833333333333335,Positivo
the yearly highs for  are looming.,0.0,0.0,Neutro
the  lba continues to gain momentumafter just 3 days: - .5m tvl- .23m  phenomenal scenes.full fkin send. > [](> day 3 of vertex  lba 📈 > > ➡️ > > contributions end in 2 days...,0.5,0.5,Positivo
"to .66+ this cycle or the market is simply wrong> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",0.19270833333333334,0.6190476190476191,Positivo
,0.0,0.0,Neutro
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,0.05833333333333332,0.30833333333333335,Positivo
the yearly highs for  are looming.,0.0,0.0,Neutro
breaking out of a 1.5 year range reminds me similar of    before they both ran up 100% from range breakoutsi think dydx will be a strong performer over these next few weeks,0.05833333333333332,0.30833333333333335,Positivo
the yearly highs for  are looming.,0.0,0.0,Neutro
the  lba continues to gain momentumafter just 3 days: - .5m tvl- .23m  phenomenal scenes.full fkin send. > [](> day 3 of vertex  lba 📈 > > ➡️ > > contributions end in 2 days...,0.5,0.5,Positivo
"to .66+ this cycle or the market is simply wrong> [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",0.19270833333333334,0.6190476190476191,Positivo
,0.0,0.0,Neutro
- longed the dip. h1 consolidation before the most recent move up #sol,0.25,0.375,Positivo
all 3 coins in the 2024 millionaire starter pack making new ath’s and cooking 2024 gonna be a good year 🤝> [](>  millionaire starter pack > >   #0x0,0.41818181818181815,0.5272727272727273,Positivo
relative strength,0.0,0.0,Neutro
working on reclaiming a key level,0.0,1.0,Neutro
"great step forward. already listed on most of the major exchanges who are supporting the swap aswell.eyes on them. previous  >> > [](> major update:  to  token swap! 🪙  > > virtua evolves into vanar, leading the charge in ultra-low cost transactions and carbon-neutral blockchain for the entertainment industry.> > ➡token swap details: > > thread 👇",0.28913690476190473,0.5238095238095238,Positivo
i started a position in  /  recentlyas i think metaverse & gaming will bring trillions of dollars into the crypto markets i think  can be a leader in the race to the top 25 🤝,0.5,0.5,Positivo
"well said   chart is a beauty price discovery soon full send it > [](> teleport time for , + in bull> > - private sale out> - no token releases for 3 months> - amino shop live. > - revenues will be used for buy back> -  partnership and uptake of amino to huge fan base > -huge partnerships pending> > same conviction i had as paal at  mcap",0.0694805194805195,0.6214285714285716,Positivo
"the  discount has continued to decline throughout the year. now down to a mere 11%.investors in  have done incredibly well in 2023, being up 258% ytd vs #bitcoin  +125%",0.08148148148148149,0.562962962962963,Positivo
"coin announcing that they are sending it to the literal moon and you didn’t think the market was going to pull back here> [](> 🚀dogecoin on the moon update🌕> > exciting news for the dogecoin community!🌑> > astrobotic plans to send a physical dogecoin to the moon in the dhl moonbox via ula  vulcan centaur rocket on 12/23/2023. funded by our community in 2015, this mission embodies collective effort!",0.09999999999999999,0.3142857142857143,Positivo
i’ve claimed 9  so far in #0x0 rewards from simply just holdingas protocol goes live over the next few months i expect this number of eth rewards to multiply by 10x rewards weekly100% of revenue generated go to holders —> future unicorn in the making high convinction,0.024545454545454544,0.32776785714285717,Positivo
"sorry, busy irl day..",-0.2,0.65,Negativo
key liquidity swept now retesting ltf support hold here and possibly bounce towards  or looking at a move into mid ’s added more here easy invalidation if wrong,0.07222222222222223,0.7055555555555556,Positivo
"looks primed for higher- old dino coins such as  pumped over +150% since the lows- ftx the biggest holder, farmer and dumper of this shitcoin is dead- accumulate under , sell higher",0.07999999999999999,0.42000000000000004,Positivo
"insane obv push throughout the life of this chart.might not mean anything but if you are  looking for a lottery bag to buy and forget about that could either go -50% or +2,000% then this could one of those potential big winners this cycle.",-0.2109375,0.696875,Negativo
attempting to move out of the base. has to hold ~...,-0.8,1.0,Negativo
at an important level relative to .i'm not sure if this holds but i guess these high timeframe support levels never look great when you are  there.i do think eth is pretty cheap relative to many other  and we will  likely see some flows from those back into eth soon.,0.1779166666666667,0.5628240740740741,Positivo
might just range here for a whilechop everyone up before the next leg higher,0.125,0.25,Positivo
: #memecontest 🥂 #base,-0.8,1.0,Negativo
starting to look a bit cooked here needs to hold here or i think we can expect a deeper correction for now —> playing cautiously and i have bidded the recent strong performers on this pull back but if  lose here i suggest being a bit cautious,0.10833333333333332,0.2708333333333333,Positivo
feels like they are  doing everything in their power to shake you out before the big move happens#bitcoin,0.0,0.1,Neutro
#bitcoin open interest by it  5 biggest exchanges.cme recently leading the charge closely followed by binance.still crazy to see the futures interest on cme rise so much in such a short time span. shows a lot of institutional interest in trading .,-0.12,0.48999999999999994,Negativo
"to ,000 one more time then a 10 year bullrun to ,000 per coin",0.5,0.5,Positivo
just to highlightwelcome > [](>  is under res here...to jump into other leveraged positions i will wait...overnight i will never risk...simply a smart strategy,0.04464285714285714,0.5089285714285714,Positivo
"slap yourself if you fomo would  instead of bidding. never chase via market orders or small buys just to scale in so you dont ""miss out""",-0.25,0.4,Negativo
just gotta hold through this stuff imo,0.0,0.0,Neutro
scooped some  on this liquidity grab barely flinched during this dump —> and one of the strongest alts in the market last few days,-0.05000000000000001,0.0888888888888889,Negativo
+5% on the day,0.0,0.0,Neutro
it  time in next 24h,0.0,0.0,Neutro
"time for the annual christmas pfp 55 days until the  etf penguin is checking his list and checking it twicemany special deliveries coming to an inbox near you, right before xmas",0.24761904761904763,0.5023809523809524,Positivo
#bitcoin printing the same bear div pattern on the daily chart for the 3rd time this year 🧐short-term correction is welcome 📉,0.2,0.25625,Positivo
showing good strength vs btc today.,0.7,0.6000000000000001,Positivo
"for anyone that thinks i'm on the left, my performance in 2024 will make you see i'm on the right. too many haters and too many doubters lately. i'm doing this for myself, but everyone getting in the way is just collateral damage. #btc",0.19714285714285712,0.42714285714285716,Positivo
"#bitcoin trading well above it  bull market support band which, in previous cycles, supported  throughout it  strongest bull trends.",-0.08333333333333333,0.13333333333333333,Negativo
"by the way, notice how  tested the  line perfectly again... same on  today, same on so many..",0.375,0.4375,Positivo
"yeah, not a great candle...",-0.4,0.75,Negativo
#bitcoin - bear div playing out as that explosive move yesterday did not  have much movement on obv. now the trendline being tested again with price and obv,0.2,0.2,Positivo
its time,0.0,0.0,Neutro
this is legit  i think that in a week we will have this movement,0.0,0.0,Neutro
- was nice enough to hit the target before coming back down.,0.1111111111111111,0.44722222222222224,Positivo
